Date du document;Document d'achat;Magasin cédant;Magasin;Groupe d'acheteurs;Poste;Article;Désignation;Quantité de commande;Reste à livrer (quantité);Unité d'achat;Historique commande/documentation appels;Devise;Prix net;Valeur nette de cde;Division;Nom du fournisseur
26/06/2006;4500019378;;;PRY;10;101238100;Onduleur 600VA NOVA;2;0;UNI;;XPF;14155;28310;PRNY;DARTY CTRE VILLE (ancien connexion)
26/06/2006;4500019383;;;PRY;10;101238000;Analyse d'eau MES;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;2230;2230;PRNY;CALEDONIENNE DES EAUX
26/06/2006;4500019384;;;PRY;10;101238000;Nettoyage véhicule 229104 NC;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;7000;7000;PRNY;SARL DRANTY
05/07/2006;4500019480;;;PRY;10;101238100;Abonnement annuel Nelles Calédoniennes;300;0;UNI;@0N\QHistorique commande/documentat@;XPF;130;39000;PRNY;PPC NE PLUS UTILISE
05/07/2006;4500019481;;;PRY;10;101238100;Capsule Crema Aroma;100;0;UNI;@0N\QHistorique commande/documentat@;XPF;60;6000;PRNY;LA CASE A CAFE
05/07/2006;4500019481;;;PRY;20;101238100;100 Gobelets 15 cl;2;0;UNI;@0N\QHistorique commande/documentat@;XPF;700;1400;PRNY;LA CASE A CAFE
05/07/2006;4500019487;;;PRY;10;101238000;Main d'oeuvre - MEYER;1;0;VAL;;XPF;60000;60000;PRNY;AXIANS ACTEMIUM CEGELEC OMEXOM
05/07/2006;4500019487;;;PRY;20;101238000;Main d'oeuvre - ANDRE;1;0;VAL;;XPF;60000;60000;PRNY;AXIANS ACTEMIUM CEGELEC OMEXOM
05/07/2006;4500019487;;;PRY;30;101238000;Déplacement;1;0;VAL;;XPF;70000;70000;PRNY;AXIANS ACTEMIUM CEGELEC OMEXOM
05/07/2006;4500019487;;;PRY;40;101238100;Fournitures de matériel;1;0;UNI;;XPF;11750;11750;PRNY;AXIANS ACTEMIUM CEGELEC OMEXOM
05/07/2006;4500019487;;;PRY;50;101238000;Taxe (4%);1;0;VAL;;XPF;10088;10088;PRNY;AXIANS ACTEMIUM CEGELEC OMEXOM
06/07/2006;4500019505;;;PRY;10;101238000;Entretien véhicule 229 275 NC;10003;0;VAL;@0N\QHistorique commande/documentat@;XPF;1;10003;PRNY;STATION TOTAL DES LYCEES/YOLOPHIL
19/07/2006;4500019637;;;PRY;10;101238100;Capsule Crema aroma;100;0;UNI;@0N\QHistorique commande/documentat@;XPF;60;6000;PRNY;LA CASE A CAFE
19/07/2006;4500019637;;;PRY;20;101238100;Sucre 200 doses;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;500;500;PRNY;LA CASE A CAFE
20/07/2006;4500019657;;;PRY;10;101238100;Fourniture de bureau;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;37748;37748;PRNY;NOPAC
01/08/2006;4500019765;;;PRY;10;101238100;Imprimante HP DJ3845C Bureau Mr BARBEAU;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;14000;14000;PRNY;PHOCIDIS (MICRO PLUS)
01/08/2006;4500019766;;;PRY;10;101238100;Cartouche Toner Photocopieur SHARP AR 16;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;18000;18000;PRNY;SHARP CENTER
01/08/2006;4500019766;;;PRY;20;101238000;Changement cartouche toner +déplacement;1995;0;VAL;@0N\QHistorique commande/documentat@;XPF;1;1995;PRNY;SHARP CENTER
01/08/2006;4500019767;;;PRY;10;101238100;Fournitures sur travaux en cours PE;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;43008;43008;PRNY;NOPAC
01/08/2006;4500019768;;;PRY;10;101238100;Cartouche d'encre HP couleur 28 JFB;2;0;UNI;;XPF;3032;6064;PRNY;NOPAC
01/08/2006;4500019768;;;PRY;20;101238100;Cartouche d'encre HP noire 27 JFB;4;0;UNI;;XPF;2612;10448;PRNY;NOPAC
01/08/2006;4500019770;;;PRY;10;101238000;Réparation éjecteur papier HP1100;8720;0;VAL;@0N\QHistorique commande/documentat@;XPF;1;8720;PRNY;PHOCIDIS (MICRO PLUS)
10/08/2006;4500019862;;;PRY;10;101238100;MALONGO CAFE;1;0;UNI;;XPF;11120;11120;PRNY;LA CAPSULE - MALONGO CAFES
17/08/2006;4500019896;;;PRY;10;101238100;Café malongo;400;0;UNI;@0N\QHistorique commande/documentat@;XPF;70;28000;PRNY;LA CAPSULE - MALONGO CAFES
21/08/2006;4500019921;;;PRY;10;101238100;Electropompe eau chargée - DW BIG 20;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;31760;31760;PRNY;ETS GASCHET JEAN
25/08/2006;4500019980;;;PRY;10;101238100;Cartouche imp.noir;10;0;UNI;@0N\QHistorique commande/documentat@;XPF;2350;23500;PRNY;ABI  SERVICES
25/08/2006;4500019980;;;PRY;20;101238100;Cartouche imp.couleur;10;0;UNI;@0N\QHistorique commande/documentat@;XPF;2650;26500;PRNY;ABI  SERVICES
29/08/2006;4500020015;;;PRY;10;101238000;Analyse d'eau MES;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;2230;2230;PRNY;CALEDONIENNE DES EAUX
31/08/2006;4500020026;;;PRY;10;101238100;Résistance chauffante ARM205;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;15000;15000;PRNY;ABI  SERVICES
31/08/2006;4500020028;;;PRY;10;101238000;Traitement de fichiers couleurs;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;44584;44584;PRNY;COPYGRAPH
01/09/2006;4500020030;;;PRY;10;101238000;Remorquage 229069 NC Goro à Ducos+péage;29800;0;VAL;@0N\QHistorique commande/documentat@;XPF;1;29800;PRNY;AUTO TRACT SARL
05/09/2006;4500020055;;;PRY;10;101238100;Capsule Crema Aroma;100;0;UNI;@0N\QHistorique commande/documentat@;XPF;60;6000;PRNY;LA CASE A CAFE
05/09/2006;4500020055;;;PRY;20;101238100;Sucre Stick 1kg;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;500;500;PRNY;LA CASE A CAFE
05/09/2006;4500020055;;;PRY;30;101238100;100 Spatules;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;200;200;PRNY;LA CASE A CAFE
05/09/2006;4500020055;;;PRY;40;101238100;100 Gobelets;2;0;UNI;@0N\QHistorique commande/documentat@;XPF;700;1400;PRNY;LA CASE A CAFE
13/09/2006;4500020135;;;PRY;10;101238100;Amortisseur avant Terrano 229 104 NC;2;0;UNI;@0N\QHistorique commande/documentat@;XPF;16700;33400;PRNY;SUDAUTO SARL
13/09/2006;4500020135;;;PRY;20;101238000;Forfait montage;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;2500;2500;PRNY;SUDAUTO SARL
21/09/2006;4500020207;;;PRY;10;101238100;Tête de lettres Prony Energies 1500 expl;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;38900;38900;PRNY;IMPRIMERIES REUNIES
22/09/2006;4500020217;;;PRY;10;101238000;Hébergement Mr COHEN du 24 au 28/09/06;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;15400;15400;PRNY;RAMADA PLAZA NOUMEA
22/09/2006;4500020217;;;PRY;20;101238000;Hébergement Mr COHEN du 24 au 28/09/06;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;15400;15400;PRNY;RAMADA PLAZA NOUMEA
22/09/2006;4500020218;;;PRY;10;101238000;Location véhicule du 24 au 28/09/06;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;11290;11290;PRNY;MENCAR/EUROPCAR
22/09/2006;4500020218;;;PRY;20;101238000;Location véhicule du 24 au 28/09/06;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;11291;11291;PRNY;MENCAR/EUROPCAR
03/10/2006;4500020278;;;PRY;10;101238100;Comerce équitable;25;0;UNI;@0N\QHistorique commande/documentat@;XPF;840;21000;PRNY;LA CAPSULE - MALONGO CAFES
03/10/2006;4500020278;;;PRY;20;101238100;Les infusions;2;0;UNI;@0N\QHistorique commande/documentat@;XPF;760;1520;PRNY;LA CAPSULE - MALONGO CAFES
03/10/2006;4500020278;;;PRY;30;101238100;Gobelets;100;0;UNI;@0N\QHistorique commande/documentat@;XPF;8;800;PRNY;LA CAPSULE - MALONGO CAFES
04/10/2006;4500020288;;;PRY;10;101238000;Location véhicule M. COHEN août 06;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;6024;6024;PRNY;MENCAR/EUROPCAR
04/10/2006;4500020288;;;PRY;20;101238000;Location véhicule M. COHEN août 06;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;6025;6025;PRNY;MENCAR/EUROPCAR
06/10/2006;4500020319;;;PRY;10;101238000;Repas du 4-10-06;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;35610;35610;PRNY;Gïte de KANUA
10/10/2006;4500020342;;;PRY;10;101238100;Café Crema Aroma;100;0;UNI;@0N\QHistorique commande/documentat@;XPF;60;6000;PRNY;LA CASE A CAFE
20/10/2006;4500020495;;;PRY;10;101238000;Travaux en cours;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;33075;33075;PRNY;CLPI
24/10/2006;4500020516;;;PRY;10;101238100;Cartouches encre noir imprimante JFB;5;0;UNI;@0N\QHistorique commande/documentat@;XPF;2556;12780;PRNY;NOPAC
24/10/2006;4500020516;;;PRY;20;101238100;Cartouches encre couleur imprimante JFB;5;0;UNI;@0N\QHistorique commande/documentat@;XPF;2956;14780;PRNY;NOPAC
14/11/2006;4500020722;;;PRY;10;101238100;Matériel;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;46161;46161;PRNY;ETS GASCHET JEAN
15/11/2006;4500020745;;;PRY;10;101238000;Frais modification billet JLF;2040;0;VAL;@0N\QHistorique commande/documentat@;XPF;1;2040;PRNY;TPV
15/11/2006;4500020745;;;PRY;20;101238000;Frais modification billet SA;2040;0;VAL;@0N\QHistorique commande/documentat@;XPF;1;2040;PRNY;TPV
15/11/2006;4500020745;;;PRY;30;101238000;Frais modification billet JLF;2040;0;VAL;@0N\QHistorique commande/documentat@;XPF;1;2040;PRNY;TPV
15/11/2006;4500020745;;;PRY;40;101238000;Frais modification billet SA;2040;0;VAL;@0N\QHistorique commande/documentat@;XPF;1;2040;PRNY;TPV
23/11/2006;4500020812;;;PRY;10;101238100;commande de café;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;16800;16800;PRNY;LA CAPSULE - MALONGO CAFES
30/11/2006;4500020904;;;PRY;10;101238100;Onduleurs 600VA;3;0;UNI;@0N\QHistorique commande/documentat@;XPF;11920;35760;PRNY;PHOCIDIS (MICRO PLUS)
30/11/2006;4500020905;;;PRY;10;101238000;Licence Lotus;3;0;VAL;@0N\QHistorique commande/documentat@;XPF;16100;48300;PRNY;BARRAU BUSINESS SYSTEMS
05/12/2006;4500020936;;;PRY;10;101238100;Carnets 10 tickets à 100F (péage Mt Dore;20;0;UNI;@0N\QHistorique commande/documentat@;XPF;1000;20000;PRNY;VDE SAVEXPRESS - TINA
06/12/2006;4500020943;;;PRY;10;101238000;Nettoyage salle GNI;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;35000;35000;PRNY;SUD SERVICES
06/12/2006;4500020945;;;PRY;10;101238100;Fournitures de matériel;1;0;UNI;;XPF;4860;4860;PRNY;EDS ELECTRIC DATA SYSTEM
12/12/2006;4500021027;;;PRY;10;101238100;600 Cartes de visite (AT, JFB, SA);1;0;UNI;;XPF;22285;22285;PRNY;IMPRIMERIES REUNIES
12/12/2006;4500021040;;;PRY;10;101238100;800 cartes de visite (JB, AT, JFB, SA);1;0;UNI;@0N\QHistorique commande/documentat@;XPF;24530;24530;PRNY;IMPRIMERIES REUNIES
13/12/2006;4500021052;;;PRY;10;101238100;Boîte de sucre buchette;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;1200;1200;PRNY;KA CASE A CAFE
13/12/2006;4500021052;;;PRY;20;101238100;Capsule Crema Aroma;100;0;UNI;@0N\QHistorique commande/documentat@;XPF;60;6000;PRNY;KA CASE A CAFE
22/12/2006;4500021174;;;PRY;10;101238000;Racc. Tuy. gasoil sur GE EDF154 &  OUATE;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;25900;25900;PRNY;SOCOMETRA/SEVCA
03/01/2007;4500021222;;;PRY;10;101238100;Extincteurs eau pulvérisée 6 litres;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;1750;1750;PRNY;ETUDES SECURITE SERVICES
03/01/2007;4500021222;;;PRY;20;101238100;Extincteurs à poudre 9 kg;2;0;UNI;@0N\QHistorique commande/documentat@;XPF;1750;3500;PRNY;ETUDES SECURITE SERVICES
03/01/2007;4500021222;;;PRY;30;101238100;Extincteurs au CO2 de 5 kg;14;0;UNI;@0N\QHistorique commande/documentat@;XPF;1750;24500;PRNY;ETUDES SECURITE SERVICES
03/01/2007;4500021222;;;PRY;40;101238100;Extincteurs au CO2 de 10 kg sur roues;3;0;UNI;@0N\QHistorique commande/documentat@;XPF;1750;5250;PRNY;ETUDES SECURITE SERVICES
03/01/2007;4500021222;;;PRY;50;101238100;Extincteurs à poudre de 50 kg sur roues;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;1750;1750;PRNY;ETUDES SECURITE SERVICES
08/01/2007;4500021237;;;PRY;10;101238100;Boite 1000 agrafes;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;60;60;PRNY;NOPAC
08/01/2007;4500021237;;;PRY;20;101238100;Chemise 3 rabats + élastiques A4;50;0;UNI;@0N\QHistorique commande/documentat@;XPF;104;5200;PRNY;NOPAC
08/01/2007;4500021237;;;PRY;30;101238100;"Ruban Dymo ""D1"" 12mmX7mm N/B";5;0;UNI;@0N\QHistorique commande/documentat@;XPF;2384;11920;PRNY;NOPAC
08/01/2007;4500021237;;;PRY;40;101238100;Support Bloc éphéméride + Sébille noir;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;316;316;PRNY;NOPAC
08/01/2007;4500021237;;;PRY;50;101238100;Agenda éphéméride ordinaire date droite;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;232;232;PRNY;NOPAC
10/01/2007;4500021281;;;PRY;10;101238000;Calcul de cubatures;12500;0;VAL;@0N\QHistorique commande/documentat@;XPF;1;12500;PRNY;GRAND MICHEL
12/01/2007;4500021301;;;PRY;10;101238100;Commande de café;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;21775;21775;PRNY;LA CAPSULE - MALONGO CAFES
16/01/2007;4500021325;;;PRY;10;101238100;Gobelet Malongo;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;800;800;PRNY;LA CAPSULE - MALONGO CAFES
16/01/2007;4500021325;;;PRY;20;101238100;Sucre Buchette Malongo X 900;2;0;UNI;@0N\QHistorique commande/documentat@;XPF;250;500;PRNY;LA CAPSULE - MALONGO CAFES
16/01/2007;4500021325;;;PRY;30;101238100;Commerce équitable;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;6625;6625;PRNY;LA CAPSULE - MALONGO CAFES
17/01/2007;4500021342;;;PRY;10;101238100;Armoire à clé + porte clé;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;11964;11964;PRNY;NOPAC
19/01/2007;4500021358;;;PRY;10;101238000;LAVAGE INT / EXT;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;6300;6300;PRNY;STATION TOTAL DES LYCEES/YOLOPHIL
19/01/2007;4500021363;;;PRY;10;101238000;Service de vaguemestre durant le mois;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;1916;1916;PRNY;VIGIPLIS
19/01/2007;4500021365;;;PRY;10;101238100;"Disque dur Fujitsu 2.5"" 60 Go 4200 RPM";1;0;UNI;;XPF;28900;28900;PRNY;MICRO MEDIA SOFTWARES TONNELIER
19/01/2007;4500021365;;;PRY;20;101238100;Boitier disque dur Fujitsu dynadisq USB;1;0;UNI;;XPF;6400;6400;PRNY;MICRO MEDIA SOFTWARES TONNELIER
19/01/2007;4500021368;;;PRY;10;101238000;Coffret - Fourniture et pose;1;0;VAL;;XPF;706689;706689;PRNY;AXIANS ACTEMIUM CEGELEC OMEXOM
19/01/2007;4500021368;;;PRY;20;101238000;Cable d'alimentation;1;0;VAL;;XPF;93909;93909;PRNY;AXIANS ACTEMIUM CEGELEC OMEXOM
19/01/2007;4500021369;;;PRY;10;101238100;Miseen service -Déplacement-Raccordement;1;0;UNI;;XPF;105000;105000;PRNY;AXIANS ACTEMIUM CEGELEC OMEXOM
23/01/2007;4500021384;;;PRY;10;101238100;Composition florale;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;10000;10000;PRNY;AU JARDIN FLEURI
24/01/2007;4500021398;;;PRY;10;101238100;Tambour FO2950m 20k copies;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;19400;19400;PRNY;ABI  SERVICES
24/01/2007;4500021398;;;PRY;20;101238100;Toner;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;15500;15500;PRNY;ABI  SERVICES
24/01/2007;4500021400;;;PRY;10;101238100;Eau du Mt Dore;24;0;UNI;@0N\QHistorique commande/documentat@;XPF;900;21600;PRNY;CIENC
26/01/2007;4500021425;;;PRY;10;101238100;Chaussures de sécurité;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;7800;7800;PRNY;VETRAL-AGECOM SARL
30/01/2007;4500021455;;;PRY;10;101238100;CREMA AROMA CAPSULE;100;0;UNI;@0N\QHistorique commande/documentat@;XPF;60;6000;PRNY;LA CASE A CAFE
30/01/2007;4500021455;;;PRY;20;101238100;100 GOBELETS 15 CL;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;700;700;PRNY;LA CASE A CAFE
30/01/2007;4500021455;;;PRY;30;101238100;100 SPATULES;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;200;200;PRNY;LA CASE A CAFE
02/02/2007;4500021502;;;PRY;10;101238100;Gobelets;60;0;UNI;@0N\QHistorique commande/documentat@;XPF;300;18000;PRNY;CIENC
02/02/2007;4500021503;;;PRY;10;101238100;onduleurs;3;0;UNI;;XPF;10296;30888;PRNY;PHOCIDIS (MICRO PLUS)
08/02/2007;4500021567;;;PRY;10;101238100;Eau du Mt Dore;24;0;UNI;;XPF;980;23520;PRNY;CIENC
08/02/2007;4500021567;;;PRY;20;101238100;Eau du Mt Dore;24;0;UNI;;XPF;980;23520;PRNY;CIENC
08/02/2007;4500021568;;;PRY;10;101238000;Eau du Mt Dore;24;0;VAL;@0N\QHistorique commande/documentat@;XPF;980;23520;PRNY;CIENC
08/02/2007;4500021568;;;PRY;20;101238000;Eau du Mt Dore;24;0;VAL;@0N\QHistorique commande/documentat@;XPF;980;23520;PRNY;CIENC
14/02/2007;4500021648;;;PRY;10;101238000;MAIN D'OEUVRE INFORMATIQUE;1;0;VAL;;XPF;9450;9450;PRNY;IS2
20/02/2007;4500021714;;;PRY;10;101238000;Analyses + flaconnage;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;42987;42987;PRNY;CALEDONIENNE DES EAUX
20/02/2007;4500021715;;;PRY;10;101238000;ANALYSES + FLACONNAGE;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;47759;47759;PRNY;CALEDONIENNE DES EAUX
20/02/2007;4500021716;;;PRY;10;101238000;MAIN D'OEUVRE COPIEUR GORO;1;0;VAL;@0N\QHistorique commande/documentat@;XPF;9975;9975;PRNY;ABI  SERVICES
26/02/2007;4500021762;;;PRY;10;101238100;CARTOUCHE ENCRE HP 3420/3325 NOIRE (27);3;0;UNI;@0N\QHistorique commande/documentat@;XPF;2568;7704;PRNY;NOPAC
26/02/2007;4500021762;;;PRY;20;101238100;CARTOUCVHE D'ENCRE HP 3420/3325 COULEUR;2;0;UNI;@0N\QHistorique commande/documentat@;XPF;2984;5968;PRNY;NOPAC
26/02/2007;4500021762;;;PRY;30;101238100;SACHET X 10 POCHETTES SOUFFLETS + RABAT;2;0;UNI;@0N\QHistorique commande/documentat@;XPF;1272;2544;PRNY;NOPAC
26/02/2007;4500021762;;;PRY;40;101238100;FEUTRE PILOT HI TECPOINT V7V BLEU;5;0;UNI;@0N\QHistorique commande/documentat@;XPF;196;980;PRNY;NOPAC
26/02/2007;4500021762;;;PRY;50;101238100;AGRAFEUSE BUREAU FM20 RAPID 24-26-6 ARG;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;796;796;PRNY;NOPAC
26/02/2007;4500021762;;;PRY;60;101238100;BOITE 5000 AGRAFES GALVANISE 26/6 RAPID;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;236;236;PRNY;NOPAC
26/02/2007;4500021762;;;PRY;70;101238100;ADHESIF TRANSPARENT 19X33M EURO 2000;3;0;UNI;@0N\QHistorique commande/documentat@;XPF;52;156;PRNY;NOPAC
26/02/2007;4500021762;;;PRY;80;101238100;SOURIS MOUSE IN THE BOX OPTICAL USB ACCO;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;3188;3188;PRNY;NOPAC
26/02/2007;4500021762;;;PRY;90;101238100;TRIEUR COURRIER EUROPOST BLEU PACIF NV;3;0;UNI;@0N\QHistorique commande/documentat@;XPF;392;1176;PRNY;NOPAC
26/02/2007;4500021762;;;PRY;100;101238100;ROLL FIX CORRECTEUR DRYLINE GRIP 5MMX8M;2;0;UNI;@0N\QHistorique commande/documentat@;XPF;376;752;PRNY;NOPAC
26/02/2007;4500021762;;;PRY;110;101238100;STYLO CORRECTEUR POINTE FINE PENTEL;2;0;UNI;@0N\QHistorique commande/documentat@;XPF;316;632;PRNY;NOPAC
08/03/2007;4500021908;;;PRY;10;101238100;Bonbonne Eau;48;0;UNI;@0N\QHistorique commande/documentat@;XPF;900;43200;PRNY;CIENC
12/03/2007;4500021930;;;PE;10;101606400;Stylo Pilot fins bleus/2520201;24;0;UNI;@0N\QHistorique commande/documentat@;XPF;124;2976;PRNY;NOPAC
12/03/2007;4500021930;;;PE;20;101606400;Stylo Reynolds bleus/048131;15;0;UNI;@0N\QHistorique commande/documentat@;XPF;28;420;PRNY;NOPAC
12/03/2007;4500021930;;;PE;30;101606400;Feutres triplus noir/334-9;10;0;UNI;@0N\QHistorique commande/documentat@;XPF;84;840;PRNY;NOPAC
12/03/2007;4500021930;;;PE;40;101606400;Feutres triplus rouges/334-2;10;0;UNI;@0N\QHistorique commande/documentat@;XPF;84;840;PRNY;NOPAC
12/03/2007;4500021930;;;PE;50;101606400;Feutres Hi-tecpoint Noir/2047108;12;0;UNI;@0N\QHistorique commande/documentat@;XPF;196;2352;PRNY;NOPAC
12/03/2007;4500021930;;;PE;60;101606400;Feutres Hi-tecpoint Rouge/2047306;12;0;UNI;@0N\QHistorique commande/documentat@;XPF;196;2352;PRNY;NOPAC
12/03/2007;4500021930;;;PE;70;101606400;Feutres Hi-tecpoint Vert/2047405;12;0;UNI;@0N\QHistorique commande/documentat@;XPF;196;2352;PRNY;NOPAC
12/03/2007;4500021930;;;PE;80;101606400;Feutres Hi-tecpoint Bleu/2047207;12;0;UNI;@0N\QHistorique commande/documentat@;XPF;196;2352;PRNY;NOPAC
12/03/2007;4500021930;;;PE;90;101606400;Planche 25 étiquettes dossier/125550;30;0;UNI;@0N\QHistorique commande/documentat@;XPF;136;4080;PRNY;NOPAC
12/03/2007;4500021930;;;PE;100;101606400;Dossiers suspendus Bleus/8461BL;25;0;UNI;@0N\QHistorique commande/documentat@;XPF;232;5800;PRNY;NOPAC
12/03/2007;4500021930;;;PE;110;101606400;Dossiers suspendus Rouge/8461R;25;0;UNI;@0N\QHistorique commande/documentat@;XPF;232;5800;PRNY;NOPAC
12/03/2007;4500021930;;;PE;120;101606400;Chemises cartonnées 180Gr Bleu fonce;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;1316;1316;PRNY;NOPAC
12/03/2007;4500021930;;;PE;130;101606400;Chemises cartonnées 180Gr Vert;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;1316;1316;PRNY;NOPAC
12/03/2007;4500021930;;;PE;140;101606400;Chemises cartonnées 180Gr Assorties;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;1316;1316;PRNY;NOPAC
12/03/2007;4500021930;;;PE;150;101606400;Chemises cartonnées 180Gr Bulle;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;1316;1316;PRNY;NOPAC
12/03/2007;4500021930;;;PE;160;101606400;Chemises rock's 220Gr Jaune citron;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;2748;2748;PRNY;NOPAC
12/03/2007;4500021930;;;PE;170;101606400;Chemises rock's 220Gr Rouge;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;2748;2748;PRNY;NOPAC
12/03/2007;4500021930;;;PE;180;101606400;Chemise 3 rabats + Elactique vert;50;0;UNI;@0N\QHistorique commande/documentat@;XPF;104;5200;PRNY;NOPAC
12/03/2007;4500021930;;;PE;190;101606400;Chemises cartoonées 180Gr rose;1;0;UNI;@0N\QHistorique commande/documentat@;XPF;1316;1316;PRNY;NOPAC
12/03/2007;4500021940;;;PRY;10;101238100;Commerce équitable;200;0;UNI;@0N\QHistorique commande/documentat@;XPF;55;11000;PRNY;LA CAPSULE - MALONGO CAFES
