DATE;COMMANDE;ARTICLE;DESIGNATION;QTE;DEVISE;PRIX_U;VALEUR;FOURNISSEUR
20/07/2006;4500019657;101238100;Fourniture de bureau;1;XPF;37748;37748;NOPAC
01/08/2006;4500019765;101238100;Imprimante HP DJ3845C Bureau Mr BARBEAU;1;XPF;14000;14000;PHOCIDIS (MICRO PLUS)
01/08/2006;4500019766;101238100;Cartouche Toner Photocopieur SHARP AR 16;1;XPF;18000;18000;SHARP CENTER
01/08/2006;4500019766;101238000;Changement cartouche toner +déplacement;1995;XPF;1;1995;SHARP CENTER
01/08/2006;4500019767;101238100;Fournitures sur travaux en cours PE;1;XPF;43008;43008;NOPAC
01/08/2006;4500019768;101238100;Cartouche d'encre HP couleur 28 JFB;2;XPF;3032;6064;NOPAC
01/08/2006;4500019768;101238100;Cartouche d'encre HP noire 27 JFB;4;XPF;2612;10448;NOPAC
01/08/2006;4500019770;101238000;Réparation éjecteur papier HP1100;8720;XPF;1;8720;PHOCIDIS (MICRO PLUS)
10/08/2006;4500019862;101238100;MALONGO CAFE;1;XPF;11120;11120;LA CAPSULE - MALONGO CAFES
17/08/2006;4500019896;101238100;Café malongo;400;XPF;70;28000;LA CAPSULE - MALONGO CAFES
21/08/2006;4500019921;101238100;Electropompe eau chargée - DW BIG 20;1;XPF;31760;31760;ETS GASCHET JEAN
25/08/2006;4500019980;101238100;Cartouche imp.noir;10;XPF;2350;23500;ABI  SERVICES
25/08/2006;4500019980;101238100;Cartouche imp.couleur;10;XPF;2650;26500;ABI  SERVICES
29/08/2006;4500020015;101238000;Analyse d'eau MES;1;XPF;2230;2230;CALEDONIENNE DES EAUX
31/08/2006;4500020026;101238100;Résistance chauffante ARM205;1;XPF;15000;15000;ABI  SERVICES
31/08/2006;4500020028;101238000;Traitement de fichiers couleurs;1;XPF;44584;44584;COPYGRAPH
01/09/2006;4500020030;101238000;Remorquage 229069 NC Goro à Ducos+péage;29800;XPF;1;29800;AUTO TRACT SARL
05/09/2006;4500020055;101238100;Capsule Crema Aroma;100;XPF;60;6000;LA CASE A CAFE
05/09/2006;4500020055;101238100;Sucre Stick 1kg;1;XPF;500;500;LA CASE A CAFE
05/09/2006;4500020055;101238100;100 Spatules;1;XPF;200;200;LA CASE A CAFE
05/09/2006;4500020055;101238100;100 Gobelets;2;XPF;700;1400;LA CASE A CAFE
13/09/2006;4500020135;101238100;Amortisseur avant Terrano 229 104 NC;2;XPF;16700;33400;SUDAUTO SARL
13/09/2006;4500020135;101238000;Forfait montage;1;XPF;2500;2500;SUDAUTO SARL
21/09/2006;4500020207;101238100;Tête de lettres Prony Energies 1500 expl;1;XPF;38900;38900;IMPRIMERIES REUNIES
22/09/2006;4500020217;101238000;Hébergement Mr COHEN du 24 au 28/09/06;1;XPF;15400;15400;RAMADA PLAZA NOUMEA
22/09/2006;4500020217;101238000;Hébergement Mr COHEN du 24 au 28/09/06;1;XPF;15400;15400;RAMADA PLAZA NOUMEA
22/09/2006;4500020218;101238000;Location véhicule du 24 au 28/09/06;1;XPF;11290;11290;MENCAR/EUROPCAR
22/09/2006;4500020218;101238000;Location véhicule du 24 au 28/09/06;1;XPF;11291;11291;MENCAR/EUROPCAR
03/10/2006;4500020278;101238100;Comerce équitable;25;XPF;840;21000;LA CAPSULE - MALONGO CAFES
03/10/2006;4500020278;101238100;Les infusions;2;XPF;760;1520;LA CAPSULE - MALONGO CAFES
03/10/2006;4500020278;101238100;Gobelets;100;XPF;8;800;LA CAPSULE - MALONGO CAFES
04/10/2006;4500020288;101238000;Location véhicule M. COHEN août 06;1;XPF;6024;6024;MENCAR/EUROPCAR
04/10/2006;4500020288;101238000;Location véhicule M. COHEN août 06;1;XPF;6025;6025;MENCAR/EUROPCAR
06/10/2006;4500020319;101238000;Repas du 4-10-06;1;XPF;35610;35610;Gïte de KANUA
10/10/2006;4500020342;101238100;Café Crema Aroma;100;XPF;60;6000;LA CASE A CAFE
20/10/2006;4500020495;101238000;Travaux en cours;1;XPF;33075;33075;CLPI
24/10/2006;4500020516;101238100;Cartouches encre noir imprimante JFB;5;XPF;2556;12780;NOPAC
24/10/2006;4500020516;101238100;Cartouches encre couleur imprimante JFB;5;XPF;2956;14780;NOPAC
14/11/2006;4500020722;101238100;Matériel;1;XPF;46161;46161;ETS GASCHET JEAN
15/11/2006;4500020745;101238000;Frais modification billet JLF;2040;XPF;1;2040;TPV
15/11/2006;4500020745;101238000;Frais modification billet SA;2040;XPF;1;2040;TPV
15/11/2006;4500020745;101238000;Frais modification billet JLF;2040;XPF;1;2040;TPV
15/11/2006;4500020745;101238000;Frais modification billet SA;2040;XPF;1;2040;TPV
23/11/2006;4500020812;101238100;commande de café;1;XPF;16800;16800;LA CAPSULE - MALONGO CAFES
30/11/2006;4500020904;101238100;Onduleurs 600VA;3;XPF;11920;35760;PHOCIDIS (MICRO PLUS)
30/11/2006;4500020905;101238000;Licence Lotus;3;XPF;16100;48300;BARRAU BUSINESS SYSTEMS
05/12/2006;4500020936;101238100;Carnets 10 tickets à 100F (péage Mt Dore;20;XPF;1000;20000;VDE SAVEXPRESS - TINA
06/12/2006;4500020943;101238000;Nettoyage salle GNI;1;XPF;35000;35000;SUD SERVICES
06/12/2006;4500020945;101238100;Fournitures de matériel;1;XPF;4860;4860;EDS ELECTRIC DATA SYSTEM
12/12/2006;4500021027;101238100;600 Cartes de visite (AT, JFB, SA);1;XPF;22285;22285;IMPRIMERIES REUNIES
12/12/2006;4500021040;101238100;800 cartes de visite (JB, AT, JFB, SA);1;XPF;24530;24530;IMPRIMERIES REUNIES
13/12/2006;4500021052;101238100;Boîte de sucre buchette;1;XPF;1200;1200;KA CASE A CAFE
13/12/2006;4500021052;101238100;Capsule Crema Aroma;100;XPF;60;6000;KA CASE A CAFE
22/12/2006;4500021174;101238000;Racc. Tuy. gasoil sur GE EDF154 &  OUATE;1;XPF;25900;25900;SOCOMETRA/SEVCA
03/01/2007;4500021222;101238100;Extincteurs eau pulvérisée 6 litres;1;XPF;1750;1750;ETUDES SECURITE SERVICES
03/01/2007;4500021222;101238100;Extincteurs à poudre 9 kg;2;XPF;1750;3500;ETUDES SECURITE SERVICES
03/01/2007;4500021222;101238100;Extincteurs au CO2 de 5 kg;14;XPF;1750;24500;ETUDES SECURITE SERVICES
03/01/2007;4500021222;101238100;Extincteurs au CO2 de 10 kg sur roues;3;XPF;1750;5250;ETUDES SECURITE SERVICES
03/01/2007;4500021222;101238100;Extincteurs à poudre de 50 kg sur roues;1;XPF;1750;1750;ETUDES SECURITE SERVICES
08/01/2007;4500021237;101238100;Boite 1000 agrafes;1;XPF;60;60;NOPAC
08/01/2007;4500021237;101238100;Chemise 3 rabats + élastiques A4;50;XPF;104;5200;NOPAC
08/01/2007;4500021237;101238100;"Ruban Dymo ""D1"" 12mmX7mm N/B";5;XPF;2384;11920;NOPAC
08/01/2007;4500021237;101238100;Support Bloc éphéméride + Sébille noir;1;XPF;316;316;NOPAC
08/01/2007;4500021237;101238100;Agenda éphéméride ordinaire date droite;1;XPF;232;232;NOPAC
10/01/2007;4500021281;101238000;Calcul de cubatures;12500;XPF;1;12500;GRAND MICHEL
12/01/2007;4500021301;101238100;Commande de café;1;XPF;21775;21775;LA CAPSULE - MALONGO CAFES
16/01/2007;4500021325;101238100;Gobelet Malongo;1;XPF;800;800;LA CAPSULE - MALONGO CAFES
16/01/2007;4500021325;101238100;Sucre Buchette Malongo X 900;2;XPF;250;500;LA CAPSULE - MALONGO CAFES
16/01/2007;4500021325;101238100;Commerce équitable;1;XPF;6625;6625;LA CAPSULE - MALONGO CAFES
17/01/2007;4500021342;101238100;Armoire à clé + porte clé;1;XPF;11964;11964;NOPAC
19/01/2007;4500021358;101238000;LAVAGE INT / EXT;1;XPF;6300;6300;STATION TOTAL DES LYCEES/YOLOPHIL
19/01/2007;4500021363;101238000;Service de vaguemestre durant le mois;1;XPF;1916;1916;VIGIPLIS
19/01/2007;4500021365;101238100;"Disque dur Fujitsu 2.5"" 60 Go 4200 RPM";1;XPF;28900;28900;MICRO MEDIA SOFTWARES TONNELIER
19/01/2007;4500021365;101238100;Boitier disque dur Fujitsu dynadisq USB;1;XPF;6400;6400;MICRO MEDIA SOFTWARES TONNELIER
19/01/2007;4500021368;101238000;Coffret - Fourniture et pose;1;XPF;706689;706689;AXIANS ACTEMIUM CEGELEC OMEXOM
19/01/2007;4500021368;101238000;Cable d'alimentation;1;XPF;93909;93909;AXIANS ACTEMIUM CEGELEC OMEXOM
19/01/2007;4500021369;101238100;Miseen service -Déplacement-Raccordement;1;XPF;105000;105000;AXIANS ACTEMIUM CEGELEC OMEXOM
23/01/2007;4500021384;101238100;Composition florale;1;XPF;10000;10000;AU JARDIN FLEURI
24/01/2007;4500021398;101238100;Tambour FO2950m 20k copies;1;XPF;19400;19400;ABI  SERVICES
24/01/2007;4500021398;101238100;Toner;1;XPF;15500;15500;ABI  SERVICES
24/01/2007;4500021400;101238100;Eau du Mt Dore;24;XPF;900;21600;CIENC
26/01/2007;4500021425;101238100;Chaussures de sécurité;1;XPF;7800;7800;VETRAL-AGECOM SARL
30/01/2007;4500021455;101238100;CREMA AROMA CAPSULE;100;XPF;60;6000;LA CASE A CAFE
30/01/2007;4500021455;101238100;100 GOBELETS 15 CL;1;XPF;700;700;LA CASE A CAFE
30/01/2007;4500021455;101238100;100 SPATULES;1;XPF;200;200;LA CASE A CAFE
02/02/2007;4500021502;101238100;Gobelets;60;XPF;300;18000;CIENC
02/02/2007;4500021503;101238100;onduleurs;3;XPF;10296;30888;PHOCIDIS (MICRO PLUS)
08/02/2007;4500021567;101238100;Eau du Mt Dore;24;XPF;980;23520;CIENC
08/02/2007;4500021567;101238100;Eau du Mt Dore;24;XPF;980;23520;CIENC
08/02/2007;4500021568;101238000;Eau du Mt Dore;24;XPF;980;23520;CIENC
08/02/2007;4500021568;101238000;Eau du Mt Dore;24;XPF;980;23520;CIENC
14/02/2007;4500021648;101238000;MAIN D'OEUVRE INFORMATIQUE;1;XPF;9450;9450;IS2
20/02/2007;4500021714;101238000;Analyses + flaconnage;1;XPF;42987;42987;CALEDONIENNE DES EAUX
20/02/2007;4500021715;101238000;ANALYSES + FLACONNAGE;1;XPF;47759;47759;CALEDONIENNE DES EAUX
20/02/2007;4500021716;101238000;MAIN D'OEUVRE COPIEUR GORO;1;XPF;9975;9975;ABI  SERVICES
26/02/2007;4500021762;101238100;CARTOUCHE ENCRE HP 3420/3325 NOIRE (27);3;XPF;2568;7704;NOPAC
26/02/2007;4500021762;101238100;CARTOUCVHE D'ENCRE HP 3420/3325 COULEUR;2;XPF;2984;5968;NOPAC
26/02/2007;4500021762;101238100;SACHET X 10 POCHETTES SOUFFLETS + RABAT;2;XPF;1272;2544;NOPAC
26/02/2007;4500021762;101238100;FEUTRE PILOT HI TECPOINT V7V BLEU;5;XPF;196;980;NOPAC
26/02/2007;4500021762;101238100;AGRAFEUSE BUREAU FM20 RAPID 24-26-6 ARG;1;XPF;796;796;NOPAC
26/02/2007;4500021762;101238100;BOITE 5000 AGRAFES GALVANISE 26/6 RAPID;1;XPF;236;236;NOPAC
26/02/2007;4500021762;101238100;ADHESIF TRANSPARENT 19X33M EURO 2000;3;XPF;52;156;NOPAC
26/02/2007;4500021762;101238100;SOURIS MOUSE IN THE BOX OPTICAL USB ACCO;1;XPF;3188;3188;NOPAC
26/02/2007;4500021762;101238100;TRIEUR COURRIER EUROPOST BLEU PACIF NV;3;XPF;392;1176;NOPAC
26/02/2007;4500021762;101238100;ROLL FIX CORRECTEUR DRYLINE GRIP 5MMX8M;2;XPF;376;752;NOPAC
26/02/2007;4500021762;101238100;STYLO CORRECTEUR POINTE FINE PENTEL;2;XPF;316;632;NOPAC
08/03/2007;4500021908;101238100;Bonbonne Eau;48;XPF;900;43200;CIENC
12/03/2007;4500021930;101606400;Stylo Pilot fins bleus/2520201;24;XPF;124;2976;NOPAC
12/03/2007;4500021930;101606400;Stylo Reynolds bleus/048131;15;XPF;28;420;NOPAC
12/03/2007;4500021930;101606400;Feutres triplus noir/334-9;10;XPF;84;840;NOPAC
12/03/2007;4500021930;101606400;Feutres triplus rouges/334-2;10;XPF;84;840;NOPAC
12/03/2007;4500021930;101606400;Feutres Hi-tecpoint Noir/2047108;12;XPF;196;2352;NOPAC
12/03/2007;4500021930;101606400;Feutres Hi-tecpoint Rouge/2047306;12;XPF;196;2352;NOPAC
12/03/2007;4500021930;101606400;Feutres Hi-tecpoint Vert/2047405;12;XPF;196;2352;NOPAC
12/03/2007;4500021930;101606400;Feutres Hi-tecpoint Bleu/2047207;12;XPF;196;2352;NOPAC
12/03/2007;4500021930;101606400;Planche 25 étiquettes dossier/125550;30;XPF;136;4080;NOPAC
12/03/2007;4500021930;101606400;Dossiers suspendus Bleus/8461BL;25;XPF;232;5800;NOPAC
12/03/2007;4500021930;101606400;Dossiers suspendus Rouge/8461R;25;XPF;232;5800;NOPAC
12/03/2007;4500021930;101606400;Chemises cartonnées 180Gr Bleu fonce;1;XPF;1316;1316;NOPAC
12/03/2007;4500021930;101606400;Chemises cartonnées 180Gr Vert;1;XPF;1316;1316;NOPAC
12/03/2007;4500021930;101606400;Chemises cartonnées 180Gr Assorties;1;XPF;1316;1316;NOPAC
12/03/2007;4500021930;101606400;Chemises cartonnées 180Gr Bulle;1;XPF;1316;1316;NOPAC
12/03/2007;4500021930;101606400;Chemises rock's 220Gr Jaune citron;1;XPF;2748;2748;NOPAC
12/03/2007;4500021930;101606400;Chemises rock's 220Gr Rouge;1;XPF;2748;2748;NOPAC
12/03/2007;4500021930;101606400;Chemise 3 rabats + Elactique vert;50;XPF;104;5200;NOPAC
12/03/2007;4500021930;101606400;Chemises cartoonées 180Gr rose;1;XPF;1316;1316;NOPAC
12/03/2007;4500021940;101238100;Commerce équitable;200;XPF;55;11000;LA CAPSULE - MALONGO CAFES
14/03/2007;4500021970;101238000;Main d'oeuvre informatique;1;XPF;9450;9450;IS2
14/03/2007;4500021971;101238100;Manchons pour RJ 45;50;XPF;60;3000;EDS ELECTRIC DATA SYSTEM
14/03/2007;4500021972;101238100;Cable catégorie 5E F/UTP 4P T1000;100;XPF;104;10400;ELECTROPAC
14/03/2007;4500021972;101238100;Connect. RJ45 CAT5 UTP 8P/8C;50;XPF;60;3000;ELECTROPAC
14/03/2007;4500021974;101238100;Têtes de lettres et suites de lettres PE;1;XPF;41700;41700;IMPRIMERIES REUNIES
21/03/2007;4500022069;101238000;RELEVE COMPTEUR 20/09/06 ET 14/02/07;1;XPF;27512;27512;ABI  SERVICES
21/03/2007;4500022075;101238000;ANALYSES;1;XPF;26765;26765;CALEDONIENNE DES EAUX
21/03/2007;4500022076;101238000;ANALYSES;1;XPF;31337;31337;CALEDONIENNE DES EAUX
21/03/2007;4500022077;101238000;ANALYSES;1;XPF;13382;13382;CALEDONIENNE DES EAUX
23/03/2007;4500022108;101238100;CREMA AROMA CAPSULE;100;XPF;60;6000;LA CASE A CAFE
23/03/2007;4500022108;101238100;SUCRE BUCHETTE LAVAZZA 2.8KG;1;XPF;1200;1200;LA CASE A CAFE
23/03/2007;4500022108;101238100;100 GOBELETS 15 CL;1;XPF;700;700;LA CASE A CAFE
23/03/2007;4500022108;101238100;100 SPATULES;1;XPF;200;200;LA CASE A CAFE
23/03/2007;4500022109;101238100;bonbonne d'eau du mont dore de 18,9L;24;XPF;900;21600;CIENC
02/04/2007;4500022218;101238100;Transport - Livraison;1;XPF;32000;32000;YVA NORD
03/04/2007;4500022248;101238100;Gilet fluo orange double ceinture;10;XPF;1700;17000;VETRAL-AGECOM SARL
03/04/2007;4500022248;101238100;Veste de travail;5;XPF;3100;15500;VETRAL-AGECOM SARL
03/04/2007;4500022248;101238100;parka de pluie jaune;10;XPF;1000;10000;VETRAL-AGECOM SARL
03/04/2007;4500022249;101238100;Gilet fluo orange double ceinture;10;XPF;1700;17000;VETRAL-AGECOM SARL
03/04/2007;4500022249;101238100;Veste de travail;10;XPF;3100;31000;VETRAL-AGECOM SARL
11/04/2007;4500022325;101238100;Café;1;XPF;12720;12720;LA CAPSULE - MALONGO CAFES
11/04/2007;4500022325;101238100;agitateurs;100;XPF;3;300;LA CAPSULE - MALONGO CAFES
11/04/2007;4500022328;101606400;Fournitures de bureau;1;XPF;35224;35224;NOPAC
11/04/2007;4500022329;101606400;Tableau blanc+Tableau liège;1;XPF;42740;42740;NOPAC
11/04/2007;4500022331;101606400;Tableau blanc+tableau liège;1;XPF;47240;47240;NOPAC
11/04/2007;4500022333;101606400;Fournitures de bureau;1;XPF;39656;39656;NOPAC
12/04/2007;4500022338;101238100;Bouteilles Eau;36;XPF;900;32400;CIENC
13/04/2007;4500022353;101606400;Tampons auto-encreur noir;3;XPF;10960;32880;RECTO VERSO
13/04/2007;4500022354;101606400;Tampons auto-encreur noir 55x20mm;1;XPF;9000;9000;RECTO VERSO
13/04/2007;4500022354;101606400;Tampons auto-encreur noir 50x40mm;1;XPF;9840;9840;RECTO VERSO
13/04/2007;4500022355;101606400;Carte de visite;1;XPF;30600;30600;RECTO VERSO
17/04/2007;4500022399;101606820;CLES PLATES;31;XPF;405;12555;KISCAL
17/04/2007;4500022399;101606820;CADENAS;3;XPF;2682;8046;KISCAL
17/04/2007;4500022399;101606820;CLES;2;XPF;630;1260;KISCAL
23/04/2007;4500022461;101238100;CARNETS DE 10 TICKETS A 100 F;20;XPF;1000;20000;VDE EXPRESS
26/04/2007;4500022549;101238100;Transport eau Nouméa-Goro;1;XPF;32000;32000;YVA NORD
27/04/2007;4500022554;101238100;Fournitures en eau Mt Dore;24;XPF;900;21600;CIENC
27/04/2007;4500022556;101606300;"FILIERE 600 BSPT-D 3/8-""PRO";1;XPF;52594;52594;ETS GASCHET JEAN
27/04/2007;4500022559;101238100;Transport service rapide;1;XPF;42000;42000;YVA NORD
30/04/2007;4500022580;101238100;REPAS DU 28/04/07 POUR 5 PERSONNES;1;XPF;37530;37530;GITE KANUA
04/05/2007;4500022629;101238100;Commerce équitable;1;XPF;13250;13250;LA CAPSULE - MALONGO CAFES
04/05/2007;4500022629;101238100;Sucre buchette;1;XPF;250;250;LA CAPSULE - MALONGO CAFES
14/05/2007;4500022693;101238100;Ravitaillement en eau;24;XPF;900;21600;CIENC
15/05/2007;4500022725;101606300;Chaussures de sécurité;6;XPF;3900;23400;VETRAL-AGECOM SARL
15/05/2007;4500022725;101606300;Casque de sécurité;6;XPF;890;5340;VETRAL-AGECOM SARL
16/05/2007;4500022732;101606300;Chaussures de sécurité;1;XPF;8000;8000;VETRAL-AGECOM SARL
16/05/2007;4500022737;101606300;Enrouleur Electric 40 m;1;XPF;17150;17150;NQ NOUMEA QUINCAILLERIE
22/05/2007;4500022772;101231000;1 module de connexion réseau impr. ARNB3;1;XPF;99000;99000;SHARP CENTER
23/05/2007;4500022793;101606300;Autocollants marquage Véhicule;1;XPF;43200;43200;RECTO VERSO
29/05/2007;4500022842;101238100;Commerce équitable;200;XPF;55;11000;LA CAPSULE - MALONGO CAFES
30/05/2007;4500022855;101238100;Commerce équitable (ctn x 100);1;XPF;13250;13250;LA CAPSULE - MALONGO CAFES
05/06/2007;4500022913;101238100;Déca (boîte de 12);96;XPF;60;5760;LA CAPSULE - MALONGO CAFES
05/06/2007;4500022913;101238100;Commerce équitable (moka-haiti-commerce);1;XPF;21315;21315;LA CAPSULE - MALONGO CAFES
06/06/2007;4500022916;101238100;Vanne papillon;1;XPF;8985;8985;SAINT QUENTIN
06/06/2007;4500022916;101238100;Bride fixe PVCR DN 110;1;XPF;1365;1365;SAINT QUENTIN
06/06/2007;4500022916;101238100;Coude PVCR 45 DEG FF 110;1;XPF;1327;1327;SAINT QUENTIN
06/06/2007;4500022916;101238100;Joint plat D.110 pour collet stric;1;XPF;2;2;SAINT QUENTIN
06/06/2007;4500022916;101238100;Colle gébsoplast pot 1 kg pot;1;XPF;1649;1649;SAINT QUENTIN
06/06/2007;4500022931;101606300;Fournitures - Petits équipements PE;2;XPF;3600;7200;VETRAL-AGECOM SARL
06/06/2007;4500022932;101238100;ROLLER VBALL GRIP BLEU;24;XPF;196;4704;NOPAC
06/06/2007;4500022932;101238100;COUVERTURE TRANSPARENTE A4;200;XPF;24;4800;NOPAC
06/06/2007;4500022932;101238100;MARQUEUR VELLEDA 1751;6;XPF;392;2352;NOPAC
06/06/2007;4500022932;101238100;BROSSE POUR TABLEAU BLANC;3;XPF;716;2148;NOPAC
06/06/2007;4500022932;101238100;PAPIER MULTI USAGES A4 BLANC;20;XPF;449;8980;NOPAC
06/06/2007;4500022932;101238100;PAPIER MULTI USAGES A3 BLANC;10;XPF;1544;15440;NOPAC
06/06/2007;4500022932;101238100;BOITE 5000 AGRAFES 24/6;3;XPF;236;708;NOPAC
06/06/2007;4500022932;101238100;BOITE 1000 AGRAGES 26/6;3;XPF;48;144;NOPAC
06/06/2007;4500022932;101238100;BLISTER 4 PILES ALKALINE LR6 MAXELL;3;XPF;392;1176;NOPAC
07/06/2007;4500022939;101238100;CREMA AROMA CAPSULE;100;XPF;60;6000;LA CASE A CAFE
07/06/2007;4500022939;101238100;SUCRE BUCHETTE 2000 DOSE/6 KG 3G;1;XPF;3200;3200;LA CASE A CAFE
07/06/2007;4500022939;101238100;100 GOBELETS 15CL;1;XPF;700;700;LA CASE A CAFE
07/06/2007;4500022939;101238100;100 SPATULES;1;XPF;200;200;LA CASE A CAFE
13/06/2007;4500022994;101238100;Eau du Mt Dore;24;XPF;900;21600;CIENC
13/06/2007;4500022994;101238100;Gobelets;10;XPF;300;3000;CIENC
14/06/2007;4500023015;101606300;Chaussures de sécurité;1;XPF;8000;8000;VETRAL-AGECOM SARL
15/06/2007;4500023027;101238100;Papier multi-usage A4;50;XPF;371;18550;NOPAC
15/06/2007;4500023027;101238100;Papier multi-usage A3;25;XPF;1436;35900;NOPAC
15/06/2007;4500023029;101238100;Ravitaillement en eau;24;XPF;900;21600;CIENC
22/06/2007;4500023138;101606300;Chaussures de sécurité;1;XPF;8000;8000;VETRAL-AGECOM SARL
22/06/2007;4500023140;101606300;Enrouleur Electric 40M;1;XPF;17150;17150;NQ NOUMEA QUINCAILLERIE
26/06/2007;4500023163;101606300;Chaussures de sécurité;1;XPF;8000;8000;CHEVAL  DISTRIBUTION
26/06/2007;4500023165;101606300;Pantalons;2;XPF;3600;7200;VETRAL-AGECOM SARL
27/06/2007;4500023189;101238000;Transport d'eau + Fontaine tractebel;2;XPF;32000;64000;KOROMA FELIX
27/06/2007;4500023192;101238100;commerce équitable (ctnx100 );1;XPF;26500;26500;LA CAPSULE - MALONGO CAFES
27/06/2007;4500023192;101238100;Agitateurs;200;XPF;3;600;LA CAPSULE - MALONGO CAFES
28/06/2007;4500023205;101238100;Plaque pleine DN 150 PN 10/16;2;XPF;4350;8700;ETABLISSEMENTS DE SAINT-QUENTIN
28/06/2007;4500023205;101238100;Joint plat EPDM DN150 rondel;2;XPF;505;1010;ETABLISSEMENTS DE SAINT-QUENTIN
28/06/2007;4500023205;101238100;Boulon inox 20x80 ecrou laiton;16;XPF;475;7600;ETABLISSEMENTS DE SAINT-QUENTIN
03/07/2007;4500023227;101238100;Ravitaillement en eau;40;XPF;900;36000;CIENC
04/07/2007;4500023261;101238100;Câble telephone G SYT1;50;XPF;73;3650;SOCADIME / SPOT
04/07/2007;4500023261;101238100;Câble RJ 11;1;XPF;112;112;SOCADIME / SPOT
04/07/2007;4500023262;101238100;Câble téléphone GSYT1;50;XPF;73;3650;SOCADIME / SPOT
04/07/2007;4500023262;101238100;Câble RJ11;1;XPF;112;112;SOCADIME / SPOT
05/07/2007;4500023277;101238100;Raccord mâle/mâle;1;XPF;4950;4950;IFT PACIFIC
16/07/2007;4500023372;101238100;"Raccord réduit 3""-2""1/2";8;XPF;3127;25017;ETS GASCHET JEAN
18/07/2007;4500023410;101238000;Analyses eau chaud. Tr.01;1;XPF;13215;13215;CALEDONIENNE DES EAUX
18/07/2007;4500023416;101238100;Ravitaillement en eau;36;XPF;900;32400;CIENC
18/07/2007;4500023417;101606300;COMBINAISON TYVEK JAUNE CHIMIQUE;1;XPF;3978;3978;MESACHIMIE
18/07/2007;4500023417;101606300;MASQUE COMPLET;1;XPF;30090;30090;MESACHIMIE
18/07/2007;4500023417;101606300;FILTRE COMBINE;1;XPF;4998;4998;MESACHIMIE
18/07/2007;4500023417;101606300;BOTTE SECURITE GIGINAC;1;XPF;3417;3417;MESACHIMIE
18/07/2007;4500023417;101606300;LUNETTE ETANCHE CHIMIQUE;1;XPF;408;408;MESACHIMIE
